# JPL Horizons reference snapshot.
# Source: NASA/JPL Horizons API, DE441, geocentric ecliptic J2000 vector tables.
# Coverage: selected bodies sampled at 1500-01-01 for Sun, Moon, Mercury, Venus; selected bodies sampled at 1600-01-11 for Sun, Moon, Mercury, Venus, Mars, Jupiter, Uranus, Neptune; major bodies sampled at 1749-12-31 for Sun through Neptune; selected bodies sampled at 1750-01-01 for Sun, Moon, Mercury, Venus, Mars, Jupiter, Saturn, Uranus, Neptune; inner planets sampled across 1800-2500; major bodies sampled at 1800-01-03 for Sun through Pluto; selected bodies sampled at 1900-01-01 for Sun, Moon, Mercury, Venus; major bodies sampled at 2400000, 2451545, 2451910.5, 2451911.5, 2451912.5, 2451913.5, 2451914.0, 2451914.5, 2451915.0, 2451915.5, 2451916.0, 2451916.5, 2451917.0, 2451917.5, 2451918.5, 2451919.5, 2451920.5, 2453000.5, and 2500000; major bodies sampled at 2451915.5 for Sun through Pluto; Mars sampled at 2600000 and 2634167 for outer boundary coverage; major bodies sampled at 2451913.5 through 2451917.5 for additional boundary coverage; selected asteroids sampled at J2000, 2378498.5, 2451910.5 through 2451919.5, with 2451914.0, 2451914.5, 2451915.0, 2451915.5, 2451918.5, and 2451919.5 boundary coverage, 1800-01-03, 2003-12-27, 2132-08-31, 2500-01-01, and 2634167.
# Columns: epoch_jd,body,x_km,y_km,z_km
2451914.000000000,Venus,1.019234868304264E+08,-5.695618117833492E+07,-2.630235516477838E+06
2451914.000000000,Mars,-2.097337574693299E+08,-1.579034922073560E+08,5.721148886107966E+06
2451914.000000000,Jupiter,3.011165707144536E+08,5.643232879879174E+08,-8.868641629893750E+06
2451914.000000000,Saturn,7.343901848466570E+08,1.027244915492618E+09,-4.812583946295798E+07
2451914.000000000,Uranus,2.337187004492395E+09,-2.044678967114671E+09,-3.689875950626242E+07
2451914.000000000,Neptune,2.691528288756012E+09,-3.780583296368526E+09,1.372758317480898E+07
2451914.000000000,Pluto,-1.273112907301688E+09,-4.407095026386433E+09,8.352763658469491E+08
2451914.000000000,Ceres,-1.133642814400753E+08,-5.281265996250959E+08,1.563741207403314E+07
2451914.000000000,Pallas,-2.608388408575614E+08,-3.585945946332094E+08,1.737790073822026E+08
2451914.000000000,Juno,3.646916443329187E+08,-1.496495845957216E+08,-1.132516188527701E+07
2451914.000000000,Vesta,3.731828588166809E+08,-2.335517098590943E+08,-3.820678486390053E+07
2451914.000000000,asteroid:433-Eros,2.658657158493729E+08,-1.312831137369575E+08,3.748881664945893E+07
2451914.500000000,Ceres,-1.114135270479738E+08,-5.281355305009708E+08,1.550103826145929E+07
2451914.500000000,Pallas,-2.591819869952150E+08,-3.588468831088227E+08,1.741467747474063E+08
2451914.500000000,Juno,3.657883765630507E+08,-1.484190926296613E+08,-1.152362096507761E+07
2451914.500000000,Vesta,3.747338436967436E+08,-2.324350563322705E+08,-3.826513946234089E+07
2451914.500000000,asteroid:433-Eros,2.668588034812319E+08,-1.300017798910443E+08,3.754888607677063E+07
2451915.000000000,Sun,3.860545262479544E+07,-1.419417140803015E+08,-1.851976117491722E+01
2451915.000000000,Moon,2.597621528798529E+05,2.710633674985801E+05,-2.995708670835182E+04
2451915.000000000,Mercury,7.652185580684015E+07,-1.930123294368400E+08,-7.652078459254801E+06
2451915.000000000,Venus,1.020204287533766E+08,-5.449528366631417E+07,-2.465152597096469E+06
2451915.000000000,Mars,-2.069864162846739E+08,-1.591500876045470E+08,5.675853434387691E+06
2451915.000000000,Jupiter,3.025745886183784E+08,5.654362197228084E+08,-8.846448897447616E+06
2451915.000000000,Saturn,7.361589195839781E+08,1.028334859648220E+09,-4.810295870357281E+07
2451915.000000000,Uranus,2.340087068253527E+09,-2.043588709046118E+09,-3.690190780173624E+07
2451915.000000000,Neptune,2.694434002478572E+09,-3.779639636434658E+09,1.371317641151738E+07
2451915.000000000,Pluto,-1.270122757223853E+09,-4.406643814504663E+09,8.351665974285291E+08
2451915.000000000,Ceres,-1.094652074959215E+08,-5.281320820201090E+08,1.536461563948530E+07
2451915.000000000,Pallas,-2.575269935835822E+08,-3.590873415439604E+08,1.745139048178450E+08
2451915.000000000,Juno,3.668798635274152E+08,-1.471775266521985E+08,-1.172199431521094E+07
