#Pleiades SPK Reference Corpus
#Source: JPL DE SPK kernel: de440.bsp
#Kernel-SHA256: a4ce9bf9b3282becc9f4b2ac3cebe03a2ae7599981aabd7265fd8482fff7c4b5
#Coverage: geocentric ecliptic (mean geometric), TDB epochs
#Redistribution: derived from public-domain JPL DE kernel; corpus is redistributable
#Slice-Role: fast_cluster
#Columns:epoch_jd,body,x_km,y_km,z_km
2451549,Mercury,30398772.651225,-211635310.590528,-5071189.438585
2451549,Venus,-69577782.205308,-159420044.767245,5904077.859080
2451550,Moon,88593.327926,-395021.884173,13386.651008
2451550,Mercury,36283013.659589,-211027055.154752,-5384611.469533
2451550,Venus,-66548413.158112,-161740045.304661,5834202.514921
2451551,Moon,167690.912334,-366920.702899,5884.048623
2451551,Mercury,42163728.987485,-210170341.630538,-5682168.254367
2451551,Venus,-63447703.967161,-163999931.441391,5759709.727823
2451552,Moon,239170.083631,-322296.902838,-1888.487012
2451552,Mercury,48030165.345920,-209064260.282822,-5962850.792325
2451552,Venus,-60276983.820314,-166197597.074273,5680664.631297
2451553,Moon,299567.969180,-262953.633410,-9571.683811
2451553,Mercury,53871407.510563,-207708160.867433,-6225653.630423
2451553,Venus,-57037640.667279,-168330975.992217,5597136.180360
2451554,Moon,345780.972470,-191393.269898,-16797.400083
2451554,Mercury,59676353.376117,-206101666.339963,-6469573.692353
2451554,Venus,-53731118.668894,-170398043.339819,5509196.945828
2451555,Moon,375205.390017,-110769.136191,-23202.039700
2451555,Mercury,65433688.596838,-204244690.636730,-6693609.440019
2451555,Venus,-50358915.569023,-172396816.771560,5416922.889037
2451556,Moon,385878.935059,-24813.832975,-28441.263524
2451556,Mercury,71131860.932974,-202137460.889412,-6896760.408925
2451556,Venus,-46922580.005806,-174325357.291219,5320393.118160
2451557,Moon,376624.291588,62258.846349,-32206.231609
2451557,Mercury,76759054.504953,-199780544.471194,-7078027.173039
2451557,Venus,-43423708.749737,-176181769.738501,5219689.623325
2451558,Moon,347195.446760,145887.276139,-34241.881697
2451558,Mercury,82303164.222010,-197174881.273785,-7236411.810333
2451558,Venus,-39863943.860669,-177964202.813885,5114896.984491
2451559,Moon,298421.498541,221346.569657,-34367.646778
2451559,Mercury,87751770.668018,-194321821.603906,-7370918.953337
2451559,Venus,-36244969.829392,-179670848.446879,5006102.047244
2451560,Moon,232328.917914,284004.160377,-32500.156012
2451560,Mercury,93092115.674705,-191223170.117335,-7480557.515297
2451560,Venus,-32568510.936215,-181299940.265931,4893393.572175
2451561,Moon,152203.018323,329659.771928,-28675.573300
2451561,Mercury,98311078.710390,-187881236.361711,-7564343.178902
2451561,Venus,-28836329.304724,-182849751.006323,4776861.886398
2451562,Moon,62530.408085,354958.842445,-23066.512750
2451562,Mercury,103395154.161251,-184298892.864705,-7621301.723775
2451562,Venus,-25050224.359613,-184318588.987790,4656598.598823
2451563,Moon,-31237.219446,357824.991302,-15986.122590
2451563,Mercury,108330429.786965,-180479642.291486,-7650473.265541
2451563,Venus,-21212034.414722,-185704794.321921,4532696.469277
2451564,Moon,-123122.901770,337809.711259,-7872.166259
2451564,Mercury,113102567.326725,-176427695.811142,-7650917.510525
2451564,Venus,-17323640.695881,-187006736.085349,4405249.518720
2451565,Moon,-207219.883367,296239.963609,751.346304
2451565,Mercury,117696787.448518,-172148065.033140,-7621720.218570
2451565,Venus,-13386973.217446,-188222811.907501,4274353.410376
2451566,Moon,-278316.185643,236087.824608,9329.115701
2451566,Mercury,122097862.587880,-167646669.308100,-7562001.200873
2451566,Venus,-9404016.976163,-189351450.893469,4140106.030629
2451567,Moon,-332391.886045,161582.635995,17332.971778
2451567,Mercury,126290122.056879,-162930458.909326,-7470924.302504
2451567,Venus,-5376816.563590,-190391119.632526,4002608.110291
2451568,Moon,-366880.535628,77679.585048,24309.498276
2451568,Mercury,130257473.773992,-158007553.269919,-7347709.866774
2451568,Venus,-1307477.879268,-191340329.907186,3861963.713082
2451569,Moon,-380681.599362,-10469.051478,29908.307150
2451569,Mercury,133983446.435103,-152887392.716443,-7191650.139201
2451569,Venus,2801833.213355,-192197646.325247,3718280.487445
2451570,Moon,-373992.144727,-97931.635564,33890.634392
2451570,Mercury,137451255.656694,-147580902.076455,-7002127.990265
2451570,Venus,6948894.457900,-192961692.557543,3571669.677800
2451571,Moon,-348055.127460,-180264.564452,36123.736655
2451571,Mercury,140643898.015271,-142100664.612947,-6778639.271721
2451571,Venus,11131431.818668,-193631155.703310,3422245.961884
2451572,Moon,-304904.464731,-253646.561513,36568.159279
2451572,Mercury,143544277.867759,-136461104.356345,-6520819.083641
2451572,Venus,15347124.161065,-194204788.991979,3270127.200203
2451573,Moon,-247151.350433,-314923.181917,35263.535727
2451573,Mercury,146135372.958408,-130678673.774089,-6228472.191201
2451573,Venus,19593607.457213,-194681413.347329,3115434.166447
2451574,Moon,-177824.295152,-361606.001500,32316.172175
2451574,Mercury,148400445.716690,-124772041.834549,-5901607.751395
2451574,Venus,23868478.363550,-195059918.353856,2958290.298514
2483069.5,Moon,-376051.960432,146574.002802,-36355.342169
2483069.5,Mercury,179066307.772156,81328136.139460,-4945299.691437
2483069.5,Venus,160688210.035706,-20997508.840094,-3453230.090183
2483070.5,Moon,-398619.260363,66245.117148,-36161.599289
2483070.5,Mercury,176759809.443822,87873729.402018,-4501747.877781
2483070.5,Venus,162139697.067666,-17850525.770149,-3603178.637138
2483071.5,Moon,-403357.477997,-17223.365978,-34331.404497
2483071.5,Mercury,174059736.086108,94370002.396319,-4027459.050352
2483071.5,Venus,163526346.928542,-14649716.907798,-3750351.511773
2483072.5,Moon,-390015.148578,-100073.684935,-30941.944988
2483072.5,Mercury,170958411.007161,100783800.235537,-3524357.296389
2483072.5,Venus,164846457.215901,-11396474.134746,-3894637.440134
2483073.5,Moon,-359046.617215,-178515.754510,-26133.607288
2483073.5,Mercury,167451289.690015,107079387.155244,-2994865.990313
2483073.5,Venus,166098350.567274,-8092238.867778,-4035928.114149
2483074.5,Moon,-311641.164578,-248842.520751,-20109.472145
2483074.5,Mercury,163537609.793483,113218724.187683,-2441944.531814
2483074.5,Venus,167280375.669578,-4738502.632791,-4174118.263418
2483075.5,Moon,-249735.976067,-307568.998467,-13132.702941
2483075.5,Mercury,159221048.823983,119161907.638211,-1869112.565183
2483075.5,Venus,168390908.444148,-1336807.892686,-4309105.699774
2483076.5,Moon,-176000.626264,-351590.850640,-5520.862594
2483076.5,Mercury,154510348.505173,124867787.299279,-1280456.358047
2483076.5,Venus,169428353.556439,2111250.920719,-4440791.322850
