chart_id,jd_ut,lat_deg,lon_deg,elev_m,system_code,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,asc,mc
c3_lat66,2451545,66,0,0,WholeSign,60.000000,90.000000,120.000000,150.000000,180.000000,210.000000,240.000000,270.000000,300.000000,330.000000,0.000000,30.000000,87.195607,279.611088
c3_lat66,2451545,66,0,0,Alcabitius,87.195607,91.328828,95.464644,99.611088,154.064234,213.685637,267.195607,271.328828,275.464644,279.611088,334.064234,33.685637,87.195607,279.611088
c3_lat66,2451545,66,0,0,Meridian,11.373900,42.906648,71.960854,99.611088,128.040522,158.849424,191.373900,222.906648,251.960854,279.611088,308.040522,338.849424,87.195607,279.611088
c3_lat66,2451545,66,0,0,Axial,11.373900,42.906648,71.960854,99.611088,128.040522,158.849424,191.373900,222.906648,251.960854,279.611088,308.040522,338.849424,87.195607,279.611088
c3_lat66,2451545,66,0,0,Topocentric,87.195607,81.020213,89.445207,99.611088,111.358399,128.811037,267.195607,261.020213,269.445207,279.611088,291.358399,308.811037,87.195607,279.611088
c3_lat66,2451545,66,0,0,Morinus,9.611088,38.040522,68.849424,101.373900,132.906648,161.960854,189.611088,218.040522,248.849424,281.373900,312.906648,341.960854,87.195607,279.611088
c4_lat40_e2,2433283,40,30,0,Placidus,60.830331,85.166046,105.987810,128.147116,156.178607,195.112631,240.830331,265.166046,285.987810,308.147116,336.178607,15.112631,60.830331,308.147116
c4_lat40_e2,2433283,40,30,0,Koch,60.830331,86.806212,108.354859,128.147116,165.157175,206.571597,240.830331,266.806212,288.354859,308.147116,345.157175,26.571597,60.830331,308.147116
c4_lat40_e2,2433283,40,30,0,Porphyry,60.830331,83.269259,105.708187,128.147116,165.708187,203.269259,240.830331,263.269259,285.708187,308.147116,345.708187,23.269259,60.830331,308.147116
c4_lat40_e2,2433283,40,30,0,Regiomontanus,60.830331,89.024389,108.828493,128.147116,154.522642,196.663846,240.830331,269.024389,288.828493,308.147116,334.522642,16.663846,60.830331,308.147116
c4_lat40_e2,2433283,40,30,0,Campanus,60.830331,94.053576,112.607098,128.147116,148.062203,185.470075,240.830331,274.053576,292.607098,308.147116,328.062203,5.470075,60.830331,308.147116
c4_lat40_e2,2433283,40,30,0,Equal,60.830331,90.830331,120.830331,150.830331,180.830331,210.830331,240.830331,270.830331,300.830331,330.830331,0.830331,30.830331,60.830331,308.147116
c4_lat40_e2,2433283,40,30,0,WholeSign,60.000000,90.000000,120.000000,150.000000,180.000000,210.000000,240.000000,270.000000,300.000000,330.000000,0.000000,30.000000,60.830331,308.147116
c4_lat40_e2,2433283,40,30,0,Alcabitius,60.830331,83.245756,105.301590,128.147116,165.449516,204.451992,240.830331,263.245756,285.301590,308.147116,345.449516,24.451992,60.830331,308.147116
c4_lat40_e2,2433283,40,30,0,Meridian,43.020644,72.065522,99.712399,128.147116,158.966046,191.494637,223.020644,252.065522,279.712399,308.147116,338.966046,11.494637,60.830331,308.147116
c4_lat40_e2,2433283,40,30,0,Axial,43.020644,72.065522,99.712399,128.147116,158.966046,191.494637,223.020644,252.065522,279.712399,308.147116,338.966046,11.494637,60.830331,308.147116
c4_lat40_e2,2433283,40,30,0,Topocentric,60.830331,84.992839,105.874364,128.147116,156.187324,195.109267,240.830331,264.992839,285.874364,308.147116,336.187324,15.109267,60.830331,308.147116
c4_lat40_e2,2433283,40,30,0,Morinus,38.147116,68.966046,101.494637,133.020644,162.065522,189.712399,218.147116,248.966046,281.494637,313.020644,342.065522,9.712399,60.830331,308.147116
