# Source: Swiss Ephemeris (libswisseph-sys 0.1.2), swe_calc, iflag=SEFLG_MOSEPH|SEFLG_EQUATORIAL.
# Frame: apparent equatorial of date (nutation + aberration on). Columns: jd_tt,body,ra_deg,dec_deg.
# Convention-parity reference (Moshier); ceilings are deliberately loose vs the Horizons accuracy gate.
jd_tt,body,se_ra_deg,se_dec_deg
2446071.8,Mars,341.070827516,-8.953416086
2446071.8,Jupiter,294.533927727,-21.790400348
2446071.8,Saturn,233.394222995,-17.047020675
2446071.8,Uranus,254.429338619,-22.673122282
2446071.8,Neptune,271.816461409,-22.319199292
2446071.8,Pluto,217.720964470,2.648773306
2447898.0,Sun,287.259464178,-22.493874024
2447898.0,Moon,38.977945709,20.718629488
2447898.0,Mercury,293.234982498,-19.489108429
2447898.0,Venus,306.604925295,-15.928627032
2447898.0,Mars,252.122225089,-22.514084264
2447898.0,Jupiter,94.883324284,23.261580485
2447898.0,Saturn,287.587208350,-22.168113866
2447898.0,Uranus,276.640585885,-23.573116179
2447898.0,Neptune,283.206383252,-22.036869109
2447898.0,Pluto,229.040852173,-2.251925684
2449724.2,Sun,287.304227558,-22.484538801
2449724.2,Moon,353.186508979,1.197222009
2449724.2,Mercury,302.341010788,-22.182877488
2449724.2,Venus,237.878610343,-16.430722746
2449724.2,Mars,155.900542050,13.990291453
2449724.2,Jupiter,244.116231916,-20.535207927
2449724.2,Saturn,340.797452180,-10.043299593
2449724.2,Uranus,297.889485210,-21.469572558
2449724.2,Neptune,294.500716076,-20.970613779
2449724.2,Pluto,240.358806583,-7.026197446
2451550.5,Sun,287.329762765,-22.481650734
2451550.5,Moon,289.928334766,-20.787797871
2451550.5,Mercury,281.583857256,-24.494505378
2451550.5,Venus,246.797633838,-19.807753030
2451550.5,Mars,334.577663557,-11.612430499
2451550.5,Jupiter,24.116278001,8.720386057
2451550.5,Saturn,38.677388380,12.614572962
2451550.5,Uranus,317.757532360,-16.935927578
2451550.5,Neptune,305.637719414,-19.168523645
2451550.5,Pluto,251.608417144,-11.408879447
2453376.8,Sun,287.373814928,-22.479901657
2453376.8,Moon,224.173049080,-18.465580639
2453376.8,Mercury,264.337561434,-22.442669844
2453376.8,Venus,265.301924925,-22.851259711
2453376.8,Mars,246.220404204,-21.539720244
2453376.8,Jupiter,196.871489970,-5.749243329
2453376.8,Saturn,116.425687958,21.215648444
2453376.8,Uranus,336.286878225,-10.687167516
2453376.8,Neptune,316.517890819,-16.709355589
2453376.8,Pluto,262.725942057,-15.213866827
2455203.0,Sun,287.414392457,-22.473682502
2455203.0,Moon,181.716752846,-6.268275399
2455203.0,Mercury,282.792065232,-19.875574504
2455203.0,Venus,286.108169878,-23.256514147
2455203.0,Mars,141.493179408,19.288718479
2455203.0,Jupiter,330.013674807,-13.217103473
2455203.0,Saturn,185.144836122,0.294010024
2455203.0,Uranus,354.087752626,-3.365717403
2455203.0,Neptune,327.182253343,-13.666685609
2455203.0,Pluto,273.678621527,-18.301447517
2457029.2,Sun,287.450353524,-22.465739180
2457029.2,Moon,124.694182794,14.768336290
2457029.2,Mercury,305.303985212,-21.319487433
2457029.2,Venus,306.609947901,-20.695040260
2457029.2,Mars,328.190436701,-14.018262656
2457029.2,Jupiter,143.963590287,15.230834732
2457029.2,Saturn,239.728403045,-18.545813001
2457029.2,Uranus,11.918745600,4.401255069
2457029.2,Neptune,337.613224976,-10.161954623
2457029.2,Pluto,284.288964099,-20.621138570
2458855.5,Sun,287.489138123,-22.462739348
2458855.5,Moon,57.371646721,16.603141209
2458855.5,Mercury,285.324618061,-24.425903261
2458855.5,Venus,324.710891343,-15.923196332
2458855.5,Mars,240.414370736,-20.348370409
2458855.5,Jupiter,278.758401799,-23.112527967
2458855.5,Saturn,293.865300017,-21.579512439
2458855.5,Uranus,30.629831609,11.932259535
2458855.5,Neptune,347.875058537,-6.314288070
2458855.5,Pluto,294.504200697,-22.197258238
2460681.8,Sun,287.533251739,-22.459963975
2460681.8,Moon,5.674614086,3.028844071
2460681.8,Mercury,266.655045739,-23.013878879
2460681.8,Venus,335.577413666,-11.244401645
2460681.8,Mars,123.207195117,24.123009849
2460681.8,Jupiter,71.318992098,21.739086380
2460681.8,Saturn,346.897932581,-7.745714412
2460681.8,Uranus,51.197793177,18.408897088
2460681.8,Neptune,358.103612126,-2.219452068
2460681.8,Pluto,304.238167877,-23.082315532
2462508.0,Sun,287.580449306,-22.451217786
2462508.0,Moon,318.218990561,-11.794153674
2462508.0,Mercury,273.417807948,-20.131313894
2462508.0,Venus,287.105985311,-17.976247602
2462508.0,Mars,321.817386780,-16.188243258
2462508.0,Jupiter,229.370390614,-17.166761583
2462508.0,Saturn,46.443124746,15.042160873
2462508.0,Uranus,74.102750047,22.668984535
2462508.0,Neptune,8.330799720,1.966136381
2462508.0,Pluto,313.387965231,-23.367923617
2464334.2,Sun,287.606477297,-22.445272096
2464334.2,Moon,253.792608086,-17.512314208
2464334.2,Mercury,307.458763775,-20.422923027
2464334.2,Venus,238.013136143,-16.802701610
2464334.2,Mars,234.683168022,-18.951310714
2464334.2,Jupiter,6.462463880,1.405213829
2464334.2,Saturn,125.536076153,19.793019583
2464334.2,Uranus,98.956656442,23.514332960
2464334.2,Neptune,18.700344924,6.122313936
2464334.2,Pluto,321.965349685,-23.151475702
2466160.5,Sun,287.645915451,-22.443725191
2466160.5,Moon,191.557990164,0.026692513
2466160.5,Mercury,289.119328235,-24.212310242
2466160.5,Venus,249.760623515,-20.455805463
2466160.5,Mars,101.344654385,26.902453069
2466160.5,Jupiter,182.075020637,0.527645716
2466160.5,Saturn,191.822376275,-2.476520901
2466160.5,Uranus,124.410157327,20.289050834
2466160.5,Neptune,29.310506430,10.106738384
2466160.5,Pluto,329.940051057,-22.542962687
2467986.8,Sun,287.692132573,-22.439360282
2467986.8,Moon,148.513730694,13.389933864
2467986.8,Mercury,269.445787887,-23.510232138
2467986.8,Venus,268.894884093,-23.113830630
2467986.8,Mars,315.465842951,-18.102553321
2467986.8,Jupiter,314.278613751,-17.911975967
2467986.8,Saturn,246.161623509,-19.836582281
2467986.8,Uranus,148.833220479,13.450942688
2467986.8,Neptune,40.238895169,13.762224408
2467986.8,Pluto,337.380530830,-21.604027639
2469813.0,Sun,287.733033066,-22.430653406
