# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_nod_aps, iflag=772 (SEFLG_MOSEPH|SEFLG_SPEED|SEFLG_NOGDEFL); method=4 rows only use iflag=770 (SEFLG_SWIEPH|SEFLG_SPEED|SEFLG_NOGDEFL, DE431-derived sepl_18.se1/semo_18.se1, SHA-256 pinned in the generator) because Moshier cannot produce barycentric positions.
# Nodes/apsides for the classical planets (SE 0-9; mean set drops Pluto). method bit flags: 1=mean, 2=osculating, 4=osculating-barycentric; fopoint=1 means SE_NODBIT_FOPOINT was OR'd onto method (aphelion point replaced by the orbit's focal point). Small bodies (SE 15-20) and fictitious bodies (SE 40-58) are OUT OF SCOPE (offline backend chain cannot serve small bodies; this SE build's swe_nod_aps does not implement fictitious bodies). Times are TT (Terrestrial Time) Julian days.
label,se_body,method,fopoint,jd_tt,asc_lon,asc_lat,asc_dist,asc_dlon,asc_dlat,asc_ddist,dsc_lon,dsc_lat,dsc_dist,dsc_dlon,dsc_dlat,dsc_ddist,peri_lon,peri_lat,peri_dist,peri_dlon,peri_dlat,peri_ddist,apo_lon,apo_lat,apo_dist,apo_dlon,apo_dlat,apo_ddist
Venus,3,1,0,2433282.500000000,321.892203200,-0.000055431,0.435149919,1.715502507,0.000060361,0.011665318,269.927618206,-0.000014511,1.673554435,0.589428097,0.000022957,-0.003070807,234.961628734,3.821000113,0.520432575,1.541401600,3.894674533,-0.009638130,293.047136163,-1.220295346,1.650979343,0.573529979,-1.217228630,0.003065795
Venus,3,1,0,2441683.500000000,322.468334423,-0.000357327,0.437673436,1.702086887,0.000074904,0.011711689,270.266757481,-0.000093589,1.672921669,0.589898117,0.000024012,-0.003092287,235.429450166,3.835459866,0.519220941,1.547827532,3.909700543,-0.009614579,293.434443489,-1.221875851,1.651402806,0.573795866,-1.218726438,0.003059952
Venus,3,1,0,2451545.000000000,322.194349039,0.000524263,0.434240873,1.720927395,-0.000025012,0.011661940,270.327339465,0.000136022,1.673861732,0.589677687,0.000002246,-0.003054646,235.219577726,3.803799951,0.524558728,1.529389372,3.876243715,-0.009674886,293.550412207,-1.224998003,1.649738154,0.573515766,-1.222052086,0.003112463
Venus,3,1,0,2459000.500000000,72.853651837,0.000114429,1.731404135,0.560385470,0.000006926,0.000994307,53.565099343,0.000648623,0.305458828,3.059429739,0.000019365,-0.004657513,95.057393508,1.336529474,1.494069411,0.548241183,1.329537401,0.006774878,26.283697808,-2.181180943,0.927819845,0.865950741,-2.205951504,-0.010721388
Venus,3,1,0,2466154.500000000,321.583210119,0.000164897,0.427702300,1.757752693,0.000045529,0.011557693,270.356780320,0.000041984,1.675516006,0.589152813,0.000003092,-0.002988205,234.766111467,3.746227343,0.533944944,1.497023225,3.817263068,-0.009781575,293.662421593,-1.230522230,1.646650842,0.572993918,-1.227391708,0.003199501
Venus,3,1,0,2477476.500000000,320.423062707,0.000404864,0.418520527,1.815228176,0.000015563,0.011417407,270.168025913,0.000100925,1.677967950,0.589268186,0.000006867,-0.002891641,233.966645880,3.671213926,0.545949967,1.459874115,3.739906670,-0.009927134,293.534415575,-1.235777064,1.642783798,0.573132728,-1.232591245,0.003321300
Venus,3,1,0,2488021.500000000,189.400882883,-0.000129466,0.461629326,1.571192772,-0.000021902,-0.011918738,242.742060547,-0.000035664,1.674016487,0.586004251,0.000007701,0.003041851,192.987793635,1.778300118,1.128449122,0.754940905,1.794634438,-0.010862449,264.979126763,-1.544195704,1.317301191,0.583587192,-1.532639783,0.009086327
Mars,4,1,0,2415100.500000000,29.754355170,0.000022445,2.266425908,0.378576505,0.000011302,0.008576830,268.813921160,0.000044461,1.149339382,-0.017201670,0.000042562,-0.017252396,345.382021419,-1.064008131,2.315440028,0.419782238,-1.066021681,-0.004854027,124.207638840,3.317093878,0.896161276,-0.673526880,3.260995522,0.015844531
Mars,4,1,0,2433282.500000000,7.336914982,-0.000021186,1.143048944,0.041542123,0.000019454,0.017467501,248.514729700,-0.000010589,2.301094146,0.371191143,0.000018533,-0.009143151,312.590877516,-1.167714954,2.104101988,0.387648822,-1.162448766,0.009051226,191.327603258,2.166547220,1.367596187,0.056162305,2.193563915,-0.016810128
Mars,4,1,0,2441683.500000000,7.509620037,-0.000136463,1.146872117,0.044955025,0.000023924,0.017474958,248.783408386,-0.000068127,2.299482622,0.371141267,0.000019046,-0.009184123,313.019716928,-1.166208186,2.104119708,0.387820734,-1.160878243,0.009064429,191.757432334,2.163649353,1.367594067,0.056395579,2.190747864,-0.016822680
Mars,4,1,0,2451545.000000000,7.673839290,0.000199413,1.141803292,0.041644945,-0.000009273,0.017475679,248.880792729,0.000098887,2.302603100,0.371194430,0.000003033,-0.009140963,313.288646650,-1.167027625,2.098966266,0.387105045,-1.161834048,0.009153255,192.235979578,2.145588594,1.377151460,0.062727918,2.171972686,-0.016831072
Mars,4,1,0,2459000.500000000,57.972561374,0.000080956,2.447165103,0.389157847,0.000006188,-0.003386833,199.374415858,0.000284438,0.696620011,-0.894366136,-0.000005567,0.013019938,13.965099600,-1.472178901,1.661724979,0.358856554,-1.484494436,-0.013929660,126.090152992,1.473071834,2.003599209,0.244177742,1.462461188,0.014105600
