kind,type,greatest_eclipse_jd_tt,magnitude,saros,eclipsed_longitude_deg
lunar,penumbral,2448434.63589,0.3126,110,275.00412
solar,total,2448449.29654,1.0800,136,108.98320
lunar,penumbral,2448464.25613,0.2542,148,303.26022
lunar,partial,2448611.94028,0.0876,115,89.05224
solar,annular,2448626.46223,0.9179,141,283.85015
lunar,partial,2448788.70691,0.6822,120,264.34243
solar,total,2448804.00789,1.0592,146,98.94045
lunar,total,2448966.48964,1.2709,125,78.17339
solar,partial,2448980.52200,0.8422,151,272.45372
solar,partial,2449129.09740,0.7352,118,60.53298
lunar,total,2449143.04266,1.5617,130,253.91363
solar,partial,2449305.40684,0.9280,123,231.53543
lunar,total,2449320.76882,1.0876,135,67.05143
solar,annular,2449483.21697,0.9431,128,49.81009
lunar,partial,2449497.64676,0.2432,140,243.71184
solar,total,2449660.06951,1.0535,133,220.90661
lunar,penumbral,2449674.78118,0.8815,145,55.69533
lunar,partial,2449823.01324,0.1114,112,205.06990
solar,annular,2449837.23149,0.9497,138,38.93673
lunar,penumbral,2449999.17028,0.8252,117,14.90198
solar,total,2450014.68993,1.0213,143,210.29125
lunar,total,2450177.50749,1.3795,122,194.51304
solar,partial,2450191.44319,0.8799,148,28.18629
lunar,total,2450353.62181,1.2395,127,4.28173
solar,partial,2450369.08546,0.7575,153,199.52092
solar,total,2450516.55892,1.0420,120,348.51705
lunar,partial,2450531.69477,0.9195,132,183.58555
solar,partial,2450693.50333,0.8988,125,159.56935
lunar,total,2450708.28313,1.1909,137,353.92982
solar,total,2450871.22878,1.0441,130,337.91284
lunar,penumbral,2450885.68134,0.7086,142,172.38661
lunar,penumbral,2451033.60135,0.1206,109,315.36262
solar,annular,2451047.58832,0.9734,135,148.80004
lunar,penumbral,2451062.96610,0.8121,147,343.66250
lunar,penumbral,2451210.17957,1.0027,114,131.33735
solar,annular,2451225.77405,0.9928,140,327.13016
lunar,partial,2451387.98248,0.3966,119,304.96670
solar,total,2451401.96122,1.0286,145,138.34973
lunar,total,2451564.69762,1.3246,124,120.43837
solar,partial,2451580.03503,0.5795,150,316.02072
solar,partial,2451727.31498,0.4768,117,100.24374
lunar,total,2451742.08101,1.7684,129,294.32381
solar,partial,2451756.59315,0.6034,155,128.18398
solar,partial,2451904.23330,0.7228,122,274.24424
lunar,total,2451919.34838,1.1889,134,109.64956
solar,total,2452082.00331,1.0495,127,90.17634
lunar,partial,2452096.12249,0.4947,139,283.64218
solar,annular,2452258.37015,0.9681,132,262.93696
lunar,penumbral,2452273.93775,0.8933,144,98.79129
lunar,penumbral,2452421.00308,0.6893,111,245.06748
solar,annular,2452436.48984,0.9962,137,79.90396
lunar,penumbral,2452450.39459,0.2095,149,273.18111
lunar,penumbral,2452598.57477,0.8600,116,57.55549
solar,total,2452612.81407,1.0244,142,251.96595
lunar,total,2452775.65362,1.1276,121,234.88343
solar,annular,2452790.67317,0.9384,147,69.32265
lunar,total,2452952.55530,1.0178,126,46.21631
solar,total,2452967.45164,1.0379,152,241.22574
solar,partial,2453115.06603,0.7367,119,29.82607
lunar,total,2453130.35506,1.3035,131,224.69589
solar,partial,2453292.62527,0.9282,124,201.10747
lunar,total,2453306.62860,1.3081,136,35.03616
solar,hybrid,2453469.35892,1.0074,129,19.10107
lunar,penumbral,2453484.91383,0.8650,141,214.31770
