# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_calc, iflag=1588 (SEFLG_MOSEPH|SEFLG_J2000|SEFLG_TRUEPOS|SEFLG_NOABERR|SEFLG_NOGDEFL).
# Fictitious (hypothetical) bodies, SE numbers 40..=58 (SE_FICT_OFFSET_1 + 1..=19). Elements read from the committed data/seorbel.txt (SE's built-in fallback only covers 40-54; 55-58 require this file). Geocentric J2000-ecliptic lon/lat (degrees) and distance (AU), GEOMETRIC (no light-time, no aberration, no gravitational deflection) — matches FictitiousBackend::position's geocentric-J2000 boundary. Times are TT (Terrestrial Time) Julian days, evenly sampled per body across the 1900-2100 CE window (JD 2415020.5..=2488069.5).
label,se_body,jd_tt,lon_deg,lat_deg,dist_au
Cupido,40,2475474.844827586,334.723813171,-0.425225965,40.160670326
Cupido,40,2477993.775862069,344.593315573,-0.575145592,40.928942527
Cupido,40,2480512.706896552,353.591821409,-0.704803149,41.647334927
Cupido,40,2483031.637931034,2.051158781,-0.820174094,41.890745173
Cupido,40,2485550.568965517,10.598302841,-0.925410167,41.517872478
Cupido,40,2488069.500000000,19.829753476,-1.016411334,40.767425572
Hades,41,2415020.500000000,337.766168761,0.069272939,51.097710684
Hades,41,2417539.431034483,344.507757231,-0.055247857,50.360075904
Hades,41,2420058.362068966,351.895527173,-0.182141313,49.737891915
Hades,41,2422577.293103448,359.652616371,-0.306542510,49.599026792
Hades,41,2425096.224137931,7.275009333,-0.422422201,50.020809291
Hades,41,2427615.155172414,14.360691150,-0.527057953,50.760629249
Hades,41,2430134.086206897,20.829526392,-0.622265432,51.414698144
Hades,41,2432653.017241379,26.922886842,-0.712158248,51.636406389
Hades,41,2435171.948275862,33.066867981,-0.799566242,51.305730423
Hades,41,2437690.879310345,39.679726887,-0.882918917,50.602321882
Hades,41,2440209.810344827,46.944801981,-0.954988542,49.934868937
Hades,41,2442728.741379310,54.652178743,-1.005967675,49.710586189
Hades,41,2445247.672413793,62.299161498,-1.030750812,50.068242996
Hades,41,2447766.603448276,69.436696651,-1.032930577,50.793849144
Hades,41,2450285.534482758,75.944348071,-1.021230542,51.479592052
