# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_calc SE_OSCU_APOG=13,
# iflag=SEFLG_MOSEPH (Moshier, no data files). Frame: true ecliptic of date, nutation on.
# Columns: of-date true ecliptic longitude/latitude (deg) and geocentric distance (AU).
# Accuracy note: Moshier Moon vs the DE440-sourced packaged Moon is part of the gate budget;
# upgrade path is SEFLG_JPLEPH against DE440 if the band is too loose.
jd_tt,se_oscu_apogee_lon_deg,se_oscu_apogee_lat_deg,se_oscu_apogee_dist_au
2418907.5,207.067095558,2.195080768,0.002668595064
2418930.5,220.142700253,0.970027656,0.002728858370
2418953.5,237.629518552,-0.730123358,0.002711935897
2418976.5,229.909656803,-0.065558044,0.002712271410
2418999.5,221.611835380,0.697860302,0.002709882868
2419022.5,248.732430818,-1.772186753,0.002773317908
2419045.5,272.391268290,-3.619355884,0.002665785642
2419068.5,242.492445554,-1.521347940,0.002681390626
2419091.5,244.152764809,-1.847251767,0.002704703724
2419114.5,257.138332249,-3.078680485,0.002704642958
2419137.5,246.182978185,-2.313195947,0.002675239483
2419160.5,231.783807381,-1.082644087,0.002689244962
2419183.5,255.860596664,-3.082364613,0.002767077320
2419206.5,278.432602932,-4.439652263,0.002702452610
2419229.5,266.237884403,-3.791596104,0.002709419130
2419252.5,261.333477950,-3.637569242,0.002708611808
2419275.5,279.095028441,-4.664009997,0.002725268816
2419298.5,285.787992065,-4.983425057,0.002653174670
2419321.5,251.752480809,-3.451473163,0.002656847976
2419344.5,264.425656845,-4.246242807,0.002737086654
2419367.5,284.964168521,-5.007994882,0.002713586988
2419390.5,277.981236826,-4.717223794,0.002715527347
2419413.5,268.970465422,-4.447912621,0.002711558086
2419436.5,295.303764595,-5.026964025,0.002770549922
2419459.5,317.930598158,-4.650910381,0.002667108359
2419482.5,289.722818745,-5.241456321,0.002675934658
2419505.5,289.193586225,-5.275847262,0.002706373529
2419528.5,301.617484776,-5.142656979,0.002704384099
2419551.5,295.013844809,-5.119503413,0.002684586729
2419574.5,277.358819366,-4.958128166,0.002684581367
2419597.5,300.279147646,-4.862322518,0.002770781571
2419620.5,324.531905953,-3.897887312,0.002703644219
2419643.5,314.193301513,-4.419442085,0.002706520875
2419666.5,306.947953596,-4.791803244,0.002708818630
2419689.5,323.113575090,-4.003676291,0.002721630579
2419712.5,332.418016622,-3.343007560,0.002661690981
2419735.5,295.692893371,-4.922206147,0.002648730224
2419758.5,309.533166913,-4.316135993,0.002743727188
2419781.5,332.204076335,-2.816967854,0.002713175857
2419804.5,325.574607352,-3.187264473,0.002716462743
2419827.5,316.512902074,-3.832563471,0.002711525950
2419850.5,340.960035099,-2.000097231,0.002763151602
2419873.5,2.235585629,-0.067667169,0.002671427603
2419896.5,337.923049659,-2.113777892,0.002666859575
2419919.5,333.447771120,-2.329864340,0.002706617785
2419942.5,346.224230533,-1.034695428,0.002702884177
2419965.5,343.475740674,-1.110887879,0.002690688622
2419988.5,322.612345362,-2.771321791,0.002679829004
2420011.5,344.957023881,-0.842657802,0.002772408708
2420034.5,11.113999383,1.553573739,0.002705240243
2420057.5,2.952629979,0.821200764,0.002701762514
2420080.5,353.118783535,0.017183032,0.002708136079
2420103.5,8.191621289,1.540376601,0.002717622736
2420126.5,18.923153269,2.563841387,0.002668052393
2420149.5,340.733634775,-0.476595143,0.002643848855
2420172.5,355.520013975,0.951225171,0.002748173466
2420195.5,19.339571487,2.999399737,0.002712953264
2420218.5,13.781597352,2.541000391,0.002717103682
2420241.5,4.292099255,1.789625962,0.002711392105
2420264.5,25.681741049,3.470112122,0.002754776795
2420287.5,46.312337652,4.597860093,0.002681596013
2420310.5,27.013026766,3.852846076,0.002657686468
2420333.5,17.282104074,3.371107033,0.002708908242
2420356.5,31.318801071,4.338029639,0.002703728705
2420379.5,31.693287186,4.372817560,0.002697127247
2420402.5,8.228884756,2.829291441,0.002678812992
2420425.5,30.220138417,4.214336708,0.002773776453
2420448.5,57.819171556,5.029044578,0.002709204612
2420471.5,51.372644561,4.955642967,0.002698347696
2420494.5,39.558347850,4.834150265,0.002709245289
2420517.5,53.490851459,5.222658515,0.002714960896
2420540.5,64.429438644,5.228985282,0.002675501243
2420563.5,26.542022721,4.558107665,0.002641669011
2420586.5,41.017341790,4.981502570,0.002751961338
2420609.5,65.300377520,4.969532918,0.002714222090
2420632.5,61.399439929,4.916939629,0.002718115494
2420655.5,51.478051530,5.060984988,0.002712703617
2420678.5,69.500395315,4.808211996,0.002746898431
2420701.5,90.628884552,3.830604741,0.002692889917
2420724.5,75.768492817,4.643529345,0.002646491188
2420747.5,60.305962420,5.095919567,0.002711811803
2420770.5,76.540531277,4.419938928,0.002704568639
2420793.5,78.755882718,4.136404239,0.002701577056
2420816.5,54.379269234,4.921549487,0.002681064091
2420839.5,76.303300200,4.084695422,0.002772882626
2420862.5,104.649835712,2.113470261,0.002710441229
2420885.5,99.376809119,2.543140055,0.002692479530
2420908.5,85.851264012,3.549889502,0.002708221418
2420931.5,98.331876735,2.503695567,0.002710214192
2420954.5,109.443227321,1.449349673,0.002682530194
2420977.5,73.023043282,3.889833986,0.002639436812
2421000.5,86.138364014,2.909523741,0.002751467850
2421023.5,110.812466969,0.810260268,0.002714522936
2421046.5,109.194336864,0.894890718,0.002716655324
2421069.5,98.353518969,1.871290066,0.002712266449
2421092.5,113.138502794,0.515439831,0.002738194111
2421115.5,135.888900164,-1.578065083,0.002704107415
2421138.5,124.740457481,-0.777571823,0.002634445924
2421161.5,103.980466915,0.861507827,0.002713889137
2421184.5,122.734618468,-0.998359256,0.002704804354
2421207.5,125.899670247,-1.424037940,0.002703908062
2421230.5,101.659209708,0.762073269,0.002683377807
2421253.5,122.887529066,-1.194587662,0.002768013683
2421276.5,150.890047607,-3.458548081,0.002713210966
2421299.5,147.690723745,-3.263971826,0.002687379527
2421322.5,132.341445795,-2.253080016,0.002707150257
2421345.5,143.091202535,-3.277272080,0.002706843739
2421368.5,155.225443093,-4.154666138,0.002690700334
2421391.5,119.810969349,-1.708739551,0.002636668113
2421414.5,130.796155847,-2.653799186,0.002750131883
2421437.5,156.026599663,-4.329503161,0.002718373234
2421460.5,157.343800918,-4.326220641,0.002716763002
2421483.5,145.483881467,-3.713226138,0.002714075927
2421506.5,157.542960447,-4.448958142,0.002733267111
2421529.5,182.099292688,-5.068733087,0.002714227612
2421552.5,172.375012843,-5.133479512,0.002624755119
2421575.5,148.260094697,-4.412733020,0.002717919132
2421598.5,169.167690546,-5.154267658,0.002706840872
2421621.5,172.505378384,-5.113479245,0.002707337522
2421644.5,150.147898797,-4.434259479,0.002688792522
2421667.5,169.147457056,-4.961314305,0.002761208776
2421690.5,195.821395837,-4.723013315,0.002718720557
2421713.5,195.704134493,-4.755340151,0.002682570820
2421736.5,177.880379187,-5.210333924,0.002706924035
2421759.5,187.227101795,-5.103248655,0.002704929639
2421782.5,200.628973739,-4.607832392,0.002698355995
2421805.5,166.172610617,-5.134270000,0.002636570280
2421828.5,175.108526017,-5.011052947,0.002747288849
2421851.5,201.078363037,-4.194385829,0.002723143426
2421874.5,205.290923764,-3.861447281,0.002715603935
2421897.5,192.300393609,-4.543731900,0.002715390253
2421920.5,202.567559394,-4.081952723,0.002728545792
2421943.5,228.434697408,-2.208471709,0.002719918743
2421966.5,218.019879150,-2.951164662,0.002616419803
2421989.5,193.233076272,-4.320448010,0.002719393650
2422012.5,215.295455667,-2.802657547,0.002706840476
2422035.5,218.651990823,-2.343000190,0.002708181128
2422058.5,198.739322101,-3.719193230,0.002692261825
2422081.5,214.427294384,-2.596378619,0.002750329966
2422104.5,240.041555679,-0.353114300,0.002725770339
2422127.5,244.372637305,0.063294098,0.002675910759
2422150.5,223.166121320,-1.772923654,0.002704552215
2422173.5,231.681212315,-0.846309219,0.002702386821
2422196.5,246.241558873,0.626575957,0.002702271642
2422219.5,212.502013534,-2.121104764,0.002636522875
2422242.5,219.910853172,-1.380696618,0.002743130952
2422265.5,246.973145176,1.105703805,0.002727751376
2422288.5,253.993401865,1.743001065,0.002713147706
2422311.5,239.818218669,0.472457692,0.002715415800
2422334.5,248.638722454,1.376731446,0.002723818005
2422357.5,274.648664791,3.457738308,0.002723115038
2422380.5,263.284102520,2.899465643,0.002613434990
2422403.5,239.158886129,1.124465194,0.002718696971
2422426.5,261.172843949,3.040379887,0.002707695254
2422449.5,265.331436474,3.388237940,0.002709600210
2422472.5,247.599080137,1.980687409,0.002695524846
2422495.5,258.904270715,2.901167773,0.002739547505
2422518.5,284.196455648,4.427464226,0.002737305228
2422541.5,293.355557444,4.803535334,0.002671438731
2422564.5,268.475408885,3.855124415,0.002703730569
2422587.5,276.743747497,4.465650271,0.002702639515
2422610.5,292.093166696,5.097343003,0.002706111368
2422633.5,258.969991782,3.574068578,0.002639562325
2422656.5,265.343108009,3.941696847,0.002740009025
2422679.5,293.155054378,5.010149290,0.002734310980
2422702.5,302.210257327,5.011853480,0.002711899801
2422725.5,287.524579324,4.884058237,0.002716832732
2422748.5,294.763107143,5.130378743,0.002720604815
2422771.5,319.840767323,4.826784126,0.002725835341
2422794.5,308.516159702,5.181732986,0.002613376618
2422817.5,284.568346625,5.122914703,0.002716323413
2422840.5,305.864997754,5.101317638,0.002710345262
2422863.5,311.516574260,4.825544490,0.002711264918
2422886.5,295.948055818,5.010223819,0.002700019389
2422909.5,302.870280907,4.955056062,0.002730875025
